mode,lx,ly,lz,rx,ry,rz
2,-0.131718,0.765832,0.160991,-0.154681,-0.735588,0.148005
1,-0.00694621,0.349789,-0.422702,-0.0565895,-0.378221,-0.406773
3,0.453499,0.149626,0.204586,0.446271,-0.147958,0.21426
